trade_id,trade_timestamp,ticker,side,quantity,price,trader_id,exchange,commission,trade_value
TRD-20260430000,2026-04-30 11:43:44,PG,SELL,1000,156.43,T-1002,NASDAQ,78.22,156430.0
TRD-20260430001,2026-04-30 14:52:29,XOM,BUY,1000,113.37,T-1004,NASDAQ,56.69,113370.0
TRD-20260430002,2026-04-30 14:36:30,AAPL,BUY,200,175.6,T-1002,NYSE,17.56,35120.0
TRD-20260430003,2026-04-30 10:57:11,AMZN,BUY,250,177.94,T-1004,NYSE,22.24,44485.0
TRD-20260430004,2026-04-30 10:25:49,NVDA,SELL,1500,863.34,T-1001,NYSE,647.5,1295010.0
TRD-20260430005,2026-04-30 09:53:43,MSFT,SELL,250,412.86,T-1004,NASDAQ,51.61,103215.0
TRD-20260430006,2026-04-30 14:45:18,TSLA,SELL,250,241.46,T-1002,NASDAQ,30.18,60365.0
TRD-20260430007,2026-04-30 10:13:34,AAPL,SELL,1500,179.65,T-1002,NASDAQ,134.74,269475.0
TRD-20260430008,2026-04-30 10:58:49,TSLA,SELL,1000,243.42,T-1003,NYSE,121.71,243420.0
TRD-20260430009,2026-04-30 15:02:40,AMZN,BUY,1000,179.51,T-1002,NASDAQ,89.75,179510.0
TRD-20260430010,2026-04-30 15:43:53,GOOGL,BUY,250,142.58,T-1003,NASDAQ,17.82,35645.0
TRD-20260430011,2026-04-30 13:09:05,AMZN,SELL,1500,180.6,T-1003,NASDAQ,135.45,270900.0
TRD-20260430012,2026-04-30 11:26:07,AMZN,SELL,750,181.25,T-1004,NYSE,67.97,135937.5
TRD-20260430013,2026-04-30 11:44:41,PG,BUY,250,158.64,T-1005,NYSE,19.83,39660.0
TRD-20260430014,2026-04-30 12:47:41,XOM,SELL,750,115.59,T-1002,NASDAQ,43.35,86692.5
TRD-20260430015,2026-04-30 10:29:52,V,BUY,1500,275.73,T-1002,NASDAQ,206.8,413595.0
TRD-20260430016,2026-04-30 12:58:24,PG,SELL,100,158.41,T-1005,NYSE,7.92,15841.0
TRD-20260430017,2026-04-30 15:41:31,V,BUY,750,273.06,T-1001,NYSE,102.4,204795.0
TRD-20260430018,2026-04-30 10:56:22,PG,SELL,250,157.88,T-1004,NASDAQ,19.73,39470.0
TRD-20260430019,2026-04-30 14:07:15,XOM,BUY,250,116.93,T-1001,NYSE,14.62,29232.5
TRD-20260430020,2026-04-30 12:54:12,PG,BUY,200,158.95,T-1002,NASDAQ,15.89,31790.0
TRD-20260430021,2026-04-30 12:48:14,WMT,BUY,100,164.14,T-1003,NASDAQ,8.21,16414.0
TRD-20260430022,2026-04-30 10:16:46,AAPL,BUY,750,176.65,T-1004,NASDAQ,66.24,132487.5
TRD-20260430023,2026-04-30 14:30:15,V,SELL,200,278.73,T-1002,NYSE,27.87,55746.0
TRD-20260430024,2026-04-30 14:24:31,V,BUY,500,279.91,T-1002,NYSE,69.98,139955.0
TRD-20260430025,2026-04-30 13:29:15,TSLA,SELL,1000,250.46,T-1005,NYSE,125.23,250460.0
TRD-20260430026,2026-04-30 09:41:29,MSFT,SELL,100,411.01,T-1005,NASDAQ,20.55,41101.0
TRD-20260430027,2026-04-30 11:35:01,WMT,BUY,100,163.45,T-1001,NASDAQ,8.17,16345.0
TRD-20260430028,2026-04-30 15:35:21,META,SELL,200,486.7,T-1004,NASDAQ,48.67,97340.0
TRD-20260430029,2026-04-30 11:42:42,V,SELL,750,271.74,T-1004,NYSE,101.9,203805.0
TRD-20260430030,2026-04-30 12:43:29,AMZN,SELL,1000,175.41,T-1004,NYSE,87.7,175410.0
TRD-20260430031,2026-04-30 10:03:06,JPM,BUY,100,198.24,T-1004,NYSE,9.91,19824.0
TRD-20260430032,2026-04-30 10:46:33,MSFT,SELL,200,411.03,T-1004,NASDAQ,41.1,82206.0
TRD-20260430033,2026-04-30 13:32:00,NVDA,BUY,1500,874.09,T-1005,NASDAQ,655.57,1311135.0
TRD-20260430034,2026-04-30 10:20:56,AAPL,BUY,750,179.59,T-1002,NASDAQ,67.35,134692.5
TRD-20260430035,2026-04-30 10:02:01,TSLA,SELL,200,245.46,T-1002,NYSE,24.55,49092.0
TRD-20260430036,2026-04-30 12:05:47,AAPL,SELL,250,181.97,T-1004,NYSE,22.75,45492.5
